standort;monat;gemessene_fahrzeuge;verstoesse;gueltige_verstoesse;verwarnungen;bussgelder;weniger_11;11_15;16_20;21_25;26_30;31_40;41_50;51_60;61_70;mehr_70;max_geschwindigkeit;einnahmen;quelle
Loh;Maerz;105125;291;243;240;3;196;30;14;3;0;0;0;0;0;0;64;4420;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Loh;April;102866;439;328;327;1;279;43;5;1;0;0;0;0;0;0;65;5515;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Loh;Mai;102714;442;291;291;0;247;37;7;0;0;0;0;0;0;0;60;4875;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Loh;Juni;97635;432;320;318;2;265;45;8;2;0;0;0;0;0;0;62;5540;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Loh;Juli;137400;851;747;741;6;622;104;15;5;1;0;0;0;0;0;66;12955;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Loh;August;125579;641;521;516;5;430;73;13;3;1;1;0;0;0;0;74;9230;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Loh;September;29488;94;83;82;1;73;7;2;0;1;0;0;0;0;0;68;1440;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Loh;Oktober;58319;172;152;152;0;126;25;1;0;0;0;0;0;0;0;57;2550;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Loh;November;68882;185;159;158;1;133;23;2;1;0;0;0;0;0;0;64;2720;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Loh;Dezember;23473;51;46;46;0;34;8;4;0;0;0;0;0;0;0;59;850;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
